sample	type	group	R1	R2	library	lane	center
EGAF00002727309	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727309/PGDX17777P6_WGS_R1.fastq	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727309/PGDX17777P6_WGS_R2.fastq	LIB1	L001	CENTER1
EGAF00002727310	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727310/PGDX17777P5_WGS_R1.fastq	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727310/PGDX17777P5_WGS_R2.fastq	LIB1	L001	CENTER1
EGAF00002727311	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727311/PGDX17777P4_WGS_R1.fastq	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727311/PGDX17777P4_WGS_R2.fastq	LIB1	L001	CENTER1
EGAF00002727312	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727312/PGDX17778P9_WGS_R1.fastq	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727312/PGDX17778P9_WGS_R2.fastq	LIB1	L001	CENTER1
EGAF00002727313	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727313/PGDX17778P8_WGS_R1.fastq	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727313/PGDX17778P8_WGS_R2.fastq	LIB1	L001	CENTER1
EGAF00002727314	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727314/PGDX17778P10_WGS_R1.fastq	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727314/PGDX17778P10_WGS_R2.fastq	LIB1	L001	CENTER1
EGAF00002727315	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727315/PGDX17778P7_WGS_R1.fastq	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727315/PGDX17778P7_WGS_R2.fastq	LIB1	L001	CENTER1
EGAF00002727316	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727316/PGDX17778P6_WGS_R1.fastq	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727316/PGDX17778P6_WGS_R2.fastq	LIB1	L001	CENTER1
EGAF00002727317	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727317/PGDX3512P7_WGS_R1.fastq	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727317/PGDX3512P7_WGS_R2.fastq	LIB1	L001	CENTER1
EGAF00002727318	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727318/PGDX3512P6_WGS_R1.fastq	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727318/PGDX3512P6_WGS_R2.fastq	LIB1	L001	CENTER1
EGAF00002727319	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727319/PGDX3512P8_WGS_R1.fastq	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727319/PGDX3512P8_WGS_R2.fastq	LIB1	L001	CENTER1
EGAF00002727320	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727320/PGDX3512P5_WGS_R1.fastq	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727320/PGDX3512P5_WGS_R2.fastq	LIB1	L001	CENTER1
EGAF00002727321	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727321/PGDX6841P2_WGS_R1.fastq	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727321/PGDX6841P2_WGS_R2.fastq	LIB1	L001	CENTER1
EGAF00002727322	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727322/PGDX6841P4_WGS_R1.fastq	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727322/PGDX6841P4_WGS_R2.fastq	LIB1	L001	CENTER1
EGAF00002727323	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727323/PGDX6841P3_WGS_R1.fastq	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727323/PGDX6841P3_WGS_R2.fastq	LIB1	L001	CENTER1
EGAF00002727324	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727324/PGDX6841P1_WGS_R1.fastq	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727324/PGDX6841P1_WGS_R2.fastq	LIB1	L001	CENTER1
EGAF00002727325	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727325/PGDX7348P3_WGS_R1.fastq	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727325/PGDX7348P3_WGS_R2.fastq	LIB1	L001	CENTER1
EGAF00002727328	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727328/PGDX6857P3_WGS_R1.fastq	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727328/PGDX6857P3_WGS_R2.fastq	LIB1	L001	CENTER1
EGAF00002727329	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727329/PGDX6857P2_WGS_R1.fastq	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727329/PGDX6857P2_WGS_R2.fastq	LIB1	L001	CENTER1
EGAF00002727405	PE	cancer	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727405/PGDX6857P1_WGS_R1.fastq	/lustre/fs0/storage/u812009/analysis/public_datasets/trypipeline/data/cancer/EGAF00002727405/PGDX6857P1_WGS_R2.fastq	LIB1	L001	CENTER1
